Name,ID
AFSOU  ,19127
AGADIR​,19128
AGALMOUS  ,19129
AGDEZ  ,19130
AGERD​,19131
AGHBALA  ,19132
AGHBALO NISRDAN  ,19133
AGHBALO OKARKAR  ,19134
AGLOU​,19135
AGOUIM  ,19136
AGOURAY  ,19137
AHFIR​,19138
AIN HAROUDA ,19139
AIN AAOUDA​,19140
AIN AATIQ​,19141
AIN AICHA  ,19142
AIN AICHA  ,19143
AIN ARISS  ,19144
AIN BARDA  ,19145
AIN BNI MATHAR​,19146
AIN BOUMASSAY  ,19147
AIN CHEGGAG  ,19148
AIN CHQEF  ,19149
AIN DALIA  ,19150
AIN KICHER  ,19151
AIN LAAH  ,19152
AIN LAHCEN  ,19153
AIN LEGDEH  ,19154
AIN LOUHE  ,19155
AIN MAATOUF  ,19156
AIN MEDIOUNA  ,19157
AIN TAOUJDATE  ,19158
AIN ZOHRA  ,19159
AIT MELLOUL,19775
ait meloul,19774
AIT AMIRA​,19160
AIT ATTAB  ,19161
AIT BAZZA  ,19162
AIT BELKACEM  ,19163
AIT BENHDDOU  ,19164
AIT DAOUD​,19165
AIT IAAZZA​,19166
AIT ISHAK  ,19167
AIT KAMARA  ,19168
AIT MAJDAN  ,19169
AIT MELLOUL​,19170
AIT MHAMED  ,19171
AIT MILK​,19172
AIT OUALLAL  ,19173
AIT OUFELLA ,19174
AIT OUMRIBET​,19175
AIT OURIR  ,19176
AIT SEBAA  ,19177
AIT SEDRAT  ,19178
AJDIR GZENAYA ,19180
AJDIR  ,19179
AKLIM  ,19181
AKNOUL​,19182
ALLAL LBEHRAOUI  ,19185
ALLAL TAZI  ,19186
ALMIS GUIGOU  ,19187
ALMIS MARMOUCHA  ,19188
ALNIF  ,19189
AL AROUI  ,19183
AL HOCEIMA  ,19184
AMERZGANE  ,19190
AMESKROUD​,19191
AMSA  ,19192
AMTAR  ,19193
AMZMIZ  ,19194
ANZA​,19195
ANZI​,19196
AOUFOUS  ,19197
AOULOUZ​,19198
AOURIR​,19199
AQCHOUR  ,19200
AQERMUD​,19201
ARBAA MESTI​,19202
ARBAA SHOUL  ,19203
ARHBALOU AKORARE  ,19204
ASJEN  ,19205
ASNI  ,19206
ASSA​,19207
ASSEBBAB  ,19208
ASSILAH  ,19209
AZARZOU  ,19210
AZEMOUR​,19211
AZILAL  ,19212
AZLA  ,19213
AZROU  ,19214
AZZABA  ,19215
BAB BERED  ,19216
BAB BOUDIR​,19217
BAB MARZOUGA​,19218
BAB OUANDAR  ,19219
BAB TAZA  ,19220
BARAKATE ERRADI​,19221
BELFAA​,19222
BELFAA​,19223
BELYOUNOCH  ,19224
BENI MELLAL,19230
BENI ABDELLAH  ,19231
BEN SLIMAN ,19225
BEN GRIR  ,19226
BEN HMED  ,19227
BEN MANSOUR  ,19228
BEN TAEIB  ,19229
BERKANE​,19232
BERRCHID ,19233
BHALIL  ,19234
BIN LWIDAN  ,19235
BIOUGRA​,19236
BIRIYECH  ,19239
BIRKOUATE​,19240
BIR MEZOUI  ,19237
BIR TAMTAM  ,19238
BITTIT  ,19241
BIZDAD​,19242
BNIDRAR​,19253
BNI KHLOUG ,19243
BNI AAYAT  ,19244
BNI ANSAR  ,19245
BNI BOUAYACH  ,19246
BNI BOUFRAH  ,19247
BNI FRASSEN​,19248
BNI HADIFA  ,19249
BNI KORRA  ,19250
BNI SAID  ,19251
BNI SIDEL LOUTA  ,19252
BOIZAKARNE​,19254
BOUARG  ,19255
BOUAROUS  ,19256
BOUCHABEL  ,19257
BOUDERBALA  ,19258
BOUDNIB  ,19259
BOUFEKRAN  ,19260
BOUGUEDRA​,19261
BOUHLOU​,19262
BOUHOUDA  ,19263
BOUJAAD  ,19264
BOUJNIBA  ,19265
BOUKCHMIR  ,19266
BOUKIDAN  ,19267
BOULAAJOUL  ,19268
BOULANOUAR  ,19269
BOULKNADEL  ,19270
BOULMANE  ,19271
BOUMALNE DADES  ,19272
BOUMIA ,19274
BOUMIA  ,19273
BOUNAAMANE​,19275
BOUSKOURA ,19276
BOUYAFAR  ,19277
BOUZEMLANE  ,19278
BOUZNIKA ,19279
BZOU  ,19280
CAPO NEGRO  ,19281
CASABLANCA,42
CHEFCHAOUEN  ,19283
CHICHAWA  ,19284
CHTOUKA​,19286
CHTOUKA AIT BAHA​,19285
CHWITAR  ,19287
COMMUNE BOUABOUT​,19288
COMMUNE ISHAK​,19289
COMMUNE KORIMATE​,19290
COMMUNE MEJJI​,19291
COMMUNE MRAMER​,19292
DAAIDAT  ,19293
DAKHLA​,19294
DAMNATE  ,19295
DAR BOUAZA ,19296
DAROUA ,19304
DAR BELAMRI  ,19297
DAR EL HAMRA  ,19298
DAR EL KEBDANI  ,19299
DAR GUEDDARI  ,19300
DAR LAASLOUJI  ,19301
DAR LQAYD SI ISSA​,19302
DAR SI ISSA​,19303
DAYET AOUA  ,19305
DCHEIRA​,19306
DEBDOU​,19307
DERDARA  ,19308
DIKI  ,19309
DLALHA ,19310
DRARGA​,19311
DRIOUCH  ,19312
ECHEMMAIA​,19313
EDDALYA  ,19314
EL BROUJ ,19315
EL FOKRA ,19316
EL GARA,19126
EL ADREJ  ,19317
EL AOUAMRA  ,19318
EL ARBAA DU RHARB  ,19319
EL BADOUZA​,19320
EL BESSABSSA  ,19321
EL GHAZOUA​,19322
EL GOUFFAF  ,19323
EL HADDADA  ,19324
EL HAJEB  ,19326
EL HAJ KADOUR  ,19325
EL HAMMAM JBEL DOUM  ,19327
EL JADIDA​,19328
EL JEBEHA ,19329
EL JORF  ,19330
EL KENSARA  ,19331
EL MELHA  ,19332
EL MENZEL ,19333
EL MERS  ,19334
EL MORHRANE  ,19335
EL OUATIA TANTAN​,19336
ENJIL AIT LAHCEN  ,19338
ENJIL  ,19337
ERFOUD  ,19339
ERRACHIDIA  ,19340
ESSAOUIRA​,19341
ESSIFA  ,19342
FAMOUDI  ,19344
FAM EL HISN​,19343
FARKHANA  ,19345
FARYATA  ,19346
FASK​,19347
FASSISS  ,19348
FEDALA ,19349
FERSSIOUA  ,19350
FES  ,19351
FKIH BEN SALAH  ,19352
FNIDEQ  ,19353
FORET DÉPLOMATIQUE ( HAOUARA)  ,19354
FOUM JAMAA  ,19355
FOUM ZGUID ,19356
GALAZ  ,19357
GHAFSAI  ,19358
GHOUAZI  ,19359
GOULMIMA  ,19360
GUELMDAMANE​,19361
GUELMIM​,19362
GUENFOUDA​,19363
GUERCIF​,19364
GUIGOU  ,19365
GUISSER ,19366
HADDADA EL GHARB  ,19377
HAD SOUALAM ,19367
HAD AIT MIMOUN  ,19368
HAD AIT OURIBEL  ,19369
HAD BNI CHIKER  ,19370
HAD BRACHOUA  ,19371
HAD DRAA​,19372
HAD GHARBIA  ,19373
HAD LBRADIA  ,19374
HAD OLD FRAJ​,19375
HAD RHOUALEM  ,19376
HAKAMA  ,19378
HAOUDRAN  ,19379
HARHOURA​,19380
HASSI BERKAN  ,19381
HASSI BILAL​,19382
HATTANE  ,19383
IDA OU KAZZOU​,19384
IDELSANE  ,19385
IFRAN  ,19386
IGHEZREN  ,19387
IGHRAM LAGHLAM  ,19388
IGHREM​,19390
IGHREM N'OUGDAL  ,19389
IHDDADEN  ,19391
IKKAOUEN  ,19392
IKNIOUEN  ,19393
IMINTANOUT  ,19395
IMI NFAST​,19394
IMLIL  ,19396
IMMOUZZER KANDER  ,19397
IMOUZZER MARMOUCHA  ,19398
IMSOUANE​,19399
IMZOUREN  ,19400
INEZGANE​,19401
ISSAGEN  ,19402
IZEMMOUREN  ,19404
IZEMMOUREN  ,19403
IZERBI​,19405
JABRIA​,19406
JAMAA IDAOUSSEMLAL​,19407
JAMAA SHAIM​,19408
JBABRA  ,19409
JBEL LHBIB  ,19410
JDOURE​,19411
JEMAAT-RIAH  ,19414
JEMAA HAOUAFATE  ,19412
JEMAA MOUL LEBLAD  ,19413
JNAN ANNICH  ,19415
JORF MALHA  ,19416
JORF SFAR​,19417
JRADA​,19418
KAHF NSOUR  ,19419
KALAAT SENADA  ,19421
KALAA DES SRAGHNA  ,19420
KARIAT ARCKMANE ,19423
KARIAT BA MOHAMED  ,19424
KARIA BENAOUDA  ,19422
KASBAT TADLA  ,19426
KASBA ,19425
KASSARAT  ,19427
KASSITA  ,19428
KELAAT M'GOUNA  ,19429
KENITRA  ,19430
KHEMIS AIT YADDINE  ,19431
KHEMIS NKHEILA  ,19432
KHEMIS SIDI YAHIA  ,19433
KHENICHET  ,19434
KHENIFRA  ,19435
KHENISHAT  ,19436
KHLALFA  ,19437
KHMIS ANJRA  ,19438
KHMIS D MDIK  ,19439
KHNISS AIT WAHI  ,19440
khouribga,19442
KSAR LKBIR,19441
KSAR EL SGHIR  ,19443
LAATAWIA  ,19444
LAAYOUNE​,19446
LAAYOUNE CHARKIA​,19445
LAKBAB  ,19447
LAKHERACHEFA  ,19448
LAKHSAS​,19449
LAKSIBA  ,19450
LALLA MIMOUNA  ,19451
LALLA MIMOUNA  ,19452
LAMNAKRA EL HADDADA  ,19453
LAMRISS​,19454
LARACHE  ,19455
LARBAA AYACHA  ,19456
LEGZIRA​,19457
LEKHMISSAT  ,19458
LEMRIJA​,19459
LGARA  ,19460
LHAD RAS L3IN  ,19461
LOUDAYA  ,19462
LOULJA  ,19463
MACHRA BELKSSIRI  ,19465
MARRAKECH  ,19466
MARTIL  ,19467
MASSA​,19469
MASSA​,19468
MATMATA  ,19470
M'DIQ  ,19471
MÉDIOUNA,19474
MEHDIA  ,19472
MEKNES,19473
MELLILA  ,19475
MELOUSSA  ,19476
MERZOGA ,19477
MESKALA​,19478
MESSASSA  ,19479
MESSOUSSATE  ,19480
MEZRAOUA  ,19481
M'GARTO  ,19482
MGHILA  ,19483
MHAMID EL GHIZLANE  ,19484
M'HAYA  ,19485
MIDAR  ,19486
MIDELT  ,19487
MIRLEFT​,19488
MISSOUR  ,19489
MKAM TOLBA  ,19490
MNASRA  ,19491
MNOUD NEKKOUR  ,19492
MOHAMMEDIA,19493
MOULAY ABDELAH AMGHAR​,19495
MOULAY ABDELKRIM  ,19496
MOULAY BOUCHTA  ,19497
MOULAY BOUSELHAM  ,19498
MOULAY BOUSLHAM  ,19499
MOULAY DRISS ARHBAL  ,19500
MOULAY DRISS ZERHOUN  ,19501
MOULAY YAKOUB  ,19502
MOUL BARGUI​,19494
MRIRT  ,19503
MSEMRIR  ,19504
MTARNARGHA  ,19505
MZEM SENDHAJA  ,19506
M HAJER  ,19464
NADOR  ,19507
NAIIMA​,19508
NAOUR  ,19509
NKHAILA  ,19510
NKOB  ,19511
NOUINOUICH  ,19512
NOUIRATE  ,19513
OLD GHANAM​,19514
OLD SAID LOUED  ,19515
OLD SMAIL ,19516
OLD YOUSSEF  ,19517
OUAD IFRAN  ,19519
OUALEGH  ,19520
OUALIDIA​,19521
OUAOULZEMT  ,19522
OUAOUMANA  ,19523
OUAOUZGAN  ,19524
OUARZAZATE  ,19525
OUAZZANE  ,19526
OUED AMLIL​,19527
OUED EL MARSSA  ,19528
OUED LAHMAR  ,19529
OUED LAOU  ,19530
OUED ZEM  ,19531
OUJDA​,19532
OULAD SAID ,19533
OULAD SGHIER ,19534
OULAD BOUBKER  ,19535
OULAD DAOUD  ,19536
OULAD HAMMOU  ,19537
OULAD HASSOUN  ,19538
OULAD JERRAR​,19539
OULAD TALEB​,19540
OULAD YA3ICH  ,19541
OULAD ZIDOUH,19542
OULED AAMAR  ,19543
OULED ABDOUNE  ,19544
OULED ALI  ,19545
OULED AYAD  ,19546
OULED AZOUZ  ,19547
OULED BEN HAMMADI  ,19548
OULED BERRHIL​,19549
OULED BOUGHADI  ,19550
OULED DAOUD ZKHANINE  ,19551
OULED DAOUD ZKHANINE  ,19552
OULED FTATA  ,19553
OULED KLIBE  ,19554
OULED LAABID  ,19555
OULED MBAREK  ,19557
OULED MOUSSA  ,19558
OULED M KOUDOU  ,19556
OULED NACER  ,19559
OULED TAYEB  ,19560
OULED TEAIMA​,19561
OULED YOUSSEF  ,19562
OULED ZBIR​,19563
OUNARA​,19564
OUNNANA  ,19565
OURIKA  ,19566
OURTZARH  ,19567
OUTA BOUABANE  ,19568
OUZOUD  ,19569
OU LAD ABDELLAH  ,19518
PORT MED  ,19570
QUAA ASSERASSE  ,19571
RABAT,19572
RASS LMA​,19576
RAS ALMA  ,19573
RAS EL AIN  ,19574
RAS TBOUDA  ,19575
RIBAT ALKHIR  ,19577
RISSANI  ,19578
ROUADI  ,19579
SABT AIT IKO  ,19580
SABT BEN SASI  ,19581
SAFI​,19582
SAIIDIA​,19583
sale​,19776
SALÉ  ,19584
SBAA AYOUN  ,19585
SBOUYA​,19586
SEBAA ROUADI  ,19587
SEBT BNI FRASSEN  ,19588
SEBT BNI IKHLEF  ,19589
SEBT EL GUIRDANE​,19590
SEBT GEZOULA​,19591
SEBT GZOULA​,19592
SEBT RMEL  ,19593
SEFRO  ,19594
SEFSAF  ,19595
SELOUANE  ,19596
SETTAT ,19597
SFAFAA  ,19598
SIDI RAHAL ,19600
SIDI AADI  ,19601
SIDI ABDELAH​,19603
SIDI ABDELAH GHYAT  ,19602
SIDI ABDELKRIM  ,19604
SIDI ABDERRAZAK  ,19605
SIDI ABED​,19606
SIDI AHMED CHERIF  ,19607
SIDI AHMED EL BERNOUSSI  ,19608
SIDI AISSA  ,19609
SIDI ALI BORAKBA  ,19611
SIDI ALLAL LEMSEDDER  ,19612
SIDI AL KAMEL  ,19610
SIDI AMMAR EL HADI  ,19613
SIDI AZZOUZ  ,19614
SIDI BENOUR​,19615
SIDI BIBI​,19616
SIDI BOUATMAN  ,19617
SIDI BOUBKER EL HAJ  ,19618
SIDI BOUKHALKHAL  ,19619
SIDI BOULAALAM​,19620
SIDI BOULENOUAR​,19621
SIDI BOUSBER  ,19622
SIDI BOUZID​,19623
SIDI DAHBI  ,19624
SIDI EL MOKHFI  ,19625
SIDI EL RHANDOUR  ,19626
SIDI GHANEM​,19627
SIDI HJAJ  ,19628
SIDI HRAZEM  ,19629
SIDI HSSAIEN  ,19630
SIDI IFNI​,19631
SIDI JABER​,19633
SIDI JABER  ,19632
SIDI KACEM  ,19634
SIDI KAOUKI​,19635
SIDI LAAROUSSI​,19636
SIDI LAHCEN EL YOUSSI  ,19637
SIDI L'MOKHTAR​,19638
SIDI M'HAMED OU MERZOUK​,19639
SIDI MOHAMED EL AHMAR  ,19640
SIDI MOUSSA LEMHAYA​,19641
SIDI QANQOUCH  ,19642
SIDI REDOUANE  ,19643
SIDI SLIMAN  ,19644
SIDI TAIBI  ,19645
SIDI YAHYA DU GHARB  ,19647
SIDI YAHYA OUSAAD  ,19648
SIDI YAHYA OUSAAD  ,19649
SIDI YAHYA  ,19646
SIDI YOUSSEF BEN AHMED SENHAJA  ,19650
SID ZWIN ,19599
SKHIRAT​,19651
SKOURA  ,19652
SMIAA  ,19653
SMIMOU​,19654
SOUIRIA​,19655
SOUK KHEMIS DADES  ,19656
SOUK LARBA  ,19657
SOUK SEBT OUED BEHT  ,19658
SOUK SEBT OULAD MIMOUN  ,19659
SOUK SEBT OULAD NEMA,19660
SOUK TLETA EL GHARB  ,19661
SOUK TNINE MOGHANE  ,19662
SOUQ KHEMIS SAHEL  ,19663
SOUQ TNIN SIDI EL YAMANI  ,19664
STEHAT  ,19665
STI FADMA  ,19666
TABOUDA  ,19667
TACHRAFAT  ,19668
TADDAMOUT  ,19669
TADDART​,19670
TAFERSIT  ,19672
TAFE TACHTE​,19671
TAFOUGHALT​,19673
TAFRAOUTE​,19675
TAFRAOUT AIT ALI OULAHCEN  ,19674
TAGANT​,19676
TAGHAZOUT​,19677
TAGHBALT  ,19678
TAGHJIJT​,19679
TAGOUNITE  ,19680
TAGZIRET  ,19681
TAHLA​,19683
TAHLA  ,19682
TAHNAOUT  ,19684
TALA YOUSSEF  ,19685
TALIOUINE​,19686
TALMEST​,19687
TAMANAR​,19688
TAMASSINT  ,19689
TAMEGROUTE  ,19690
TAMESSNA​,19691
TAMLALAT  ,19692
TAMNSORT  ,19693
TAMRI​,19694
TAMSAMAN  ,19695
TAMSLOUHT  ,19696
TANANT  ,19697
TANGER  ,19698
TANSIKHT  ,19699
TANTAN​,19700
TAOUNAT  ,19701
TAOURIRT​,19702
TARGHA  ,19703
TARGUIST  ,19704
TARMIGT  ,19705
TARODANT​,19706
TAZA​,19707
TAZAGHINE  ,19708
TAZARINE  ,19709
TAZNAKHT  ,19710
TAZOUTA  ,19711
TELATA RISSANA  ,19713
TELAT AZLAF  ,19712
TELOUET  ,19714
TEMARA​,19715
TEROUAL  ,19716
TETOUAN  ,19717
TIDILI  ,19718
TIFLET  ,19719
TIGHASALIN  ,19720
TIGHIRT​,19721
TIGHMI​,19722
TIGHZA  ,19723
TIKIOUINE​,19724
TILMI  ,19725
TIMAHDITE  ,19727
TIMDELINE  ,19728
TIMEZGANA  ,19729
TIMOULAY​,19730
TIMOULILT  ,19731
TIM DGHAS  ,19726
TINEJDAD  ,19732
TINGHIR  ,19733
TINZOULINE  ,19734
TIOUGHZA​,19735
TISSA  ,19736
TIZIRINE  ,19740
TIZI NISLI  ,19737
TIZI OUASLI  ,19738
TIZI TCHEN  ,19739
TIZNIT​,19741
TIZTOUTINE  ,19742
TLAT LOULED  ,19743
TLAT GNADIZ  ,19744
TLETA EL HENCHANE​,19746
TLET OULED FARS  ,19745
TNIN LGHARBIA​,19747
TORRES DE ALCALA  ,19748
TOUIMA  ,19749
TOUNDOUTE  ,19750
TOUROUG  ,19751
TROUGOUT  ,19752
VILLE IBN BATOUTA  ,19753
WAWIZAGHET  ,19754
YOUSOUFIA​,19755
ZAG​,19756
ZAGORA  ,19757
ZAIO  ,19758
ZAOUIAT CHEIKH  ,19762
ZAOUIAT SIDI SMAIL​,19763
ZAOUIA BOUGRINE  ,19759
ZAOUIA KADIRIA ,19760
ZAOUIA SIDI KACEM  ,19761
ZAWIT BENHMIDA​,19764
ZAYDA  ,19765
ZEMAMRA​,19766
ZERADA  ,19767
ZGHANGHAN  ,19768
ZHILIGA  ,19769
ZIRARA  ,19770
ZOUAYAR  ,19771
ZRIZER  ,19772
