"Nom","Code postal","Pays","État","Hub de rattachement","ID"
"OULED NACER  ","19559","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19559"
"OULED TAYEB  ","19560","Maroc","Fès-Meknès (MA)","HUB_FES","19560"
"OULED TEAIMA​","19561","Maroc","Souss-Massa (MA)","HUB_AGADIR","19561"
"OULED YOUSSEF  ","19562","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19562"
"OULED ZBIR​","19563","Maroc","Fès-Meknès (MA)","HUB_TAZA","19563"
"OUNARA​","19564","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19564"
"OUNNANA  ","19565","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19565"
"OURIKA  ","19566","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19566"
"OURTZARH  ","19567","Maroc","Fès-Meknès (MA)","HUB_FES","19567"
"OUTA BOUABANE  ","19568","Maroc","Fès-Meknès (MA)","HUB_FES","19568"
"OUZOUD  ","19569","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19569"
"OU LAD ABDELLAH  ","19518","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19518"
"PORT MED  ","19570","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19570"
"QUAA ASSERASSE  ","19571","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19571"
"RABAT","19572","Maroc","Rabat-Salé-Kénitra (MA)","HUB_RABAT","19572"
"RASS LMA​","19576","Maroc","L'Oriental (MA)","HUB_OUJDA","19576"
"RAS ALMA  ","19573","Maroc","L'Oriental (MA)","HUB_NADOR","19573"
"RAS EL AIN  ","19574","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19574"
"RAS TBOUDA  ","19575","Maroc","Fès-Meknès (MA)","HUB_FES","19575"
"RIBAT ALKHIR  ","19577","Maroc","Fès-Meknès (MA)","HUB_FES","19577"
"RISSANI  ","19578","Maroc","Drâa-Tafilalet (MA)","HUB_ERRACHIDIA","19578"
"ROUADI  ","19579","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19579"
"SABT AIT IKO  ","19580","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19580"
"SABT BEN SASI  ","19581","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19581"
"SAFI​","19582","Maroc","Marrakech-Safi (MA)","HUB_SAFI","19582"
"SAIIDIA​","19583","Maroc","L'Oriental (MA)","HUB_OUJDA","19583"
"sale​","19776","Maroc","L'Oriental (MA)","HUB_RABAT","19776"
"SALÉ  ","19584","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19584"
"SBAA AYOUN  ","19585","Maroc","Fès-Meknès (MA)","HUB_MEKNES","19585"
"SBOUYA​","19586","Maroc","Guelmim-Oued Noun (MA)","HUB_GUELMIM","19586"
"SEBAA ROUADI  ","19587","Maroc","Fès-Meknès (MA)","HUB_FES","19587"
"SEBT BNI FRASSEN  ","19588","Maroc","Fès-Meknès (MA)","HUB_FES","19588"
"SEBT BNI IKHLEF  ","19589","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19589"
"SEBT EL GUIRDANE​","19590","Maroc","Souss-Massa (MA)","HUB_AGADIR","19590"
"SEBT GEZOULA​","19591","Maroc","Marrakech-Safi (MA)","HUB_SAFI","19591"
"SEBT GZOULA​","19592","Maroc","Marrakech-Safi (MA)","HUB_SAFI","19592"
"SEBT RMEL  ","19593","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19593"
"SEFRO  ","19594","Maroc","Fès-Meknès (MA)","HUB_FES","19594"
"SEFSAF  ","19595","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19595"
"SELOUANE  ","19596","Maroc","L'Oriental (MA)","HUB_NADOR","19596"
"SETTAT ","19597","Maroc","Casablanca-Settat (MA)","HUB_SETTAT","19597"
"SFAFAA  ","19598","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19598"
"SIDI RAHAL ","19600","Maroc","Casablanca-Settat (MA)","HUB_CASABLANCA","19600"
"SIDI AADI  ","19601","Maroc","Fès-Meknès (MA)","HUB_MEKNES","19601"
"SIDI ABDELAH​","19603","Maroc","Fès-Meknès (MA)","HUB_TAZA","19603"
"SIDI ABDELAH GHYAT  ","19602","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19602"
"SIDI ABDELKRIM  ","19604","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19604"
"SIDI ABDERRAZAK  ","19605","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19605"
"SIDI ABED​","19606","Maroc","Casablanca-Settat (MA)","HUB_EL JADIDA","19606"
"SIDI AHMED CHERIF  ","19607","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19607"
"SIDI AHMED EL BERNOUSSI  ","19608","Maroc","Fès-Meknès (MA)","HUB_FES","19608"
"SIDI AISSA  ","19609","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19609"
"SIDI ALI BORAKBA  ","19611","Maroc","L'Oriental (MA)","HUB_NADOR","19611"
"SIDI ALLAL LEMSEDDER  ","19612","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19612"
"SIDI AL KAMEL  ","19610","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19610"
"SIDI AMMAR EL HADI  ","19613","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19613"
"SIDI AZZOUZ  ","19614","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19614"
"SIDI BENOUR​","19615","Maroc","Casablanca-Settat (MA)","HUB_EL JADIDA","19615"
"SIDI BIBI​","19616","Maroc","Souss-Massa (MA)","HUB_AGADIR","19616"
"SIDI BOUATMAN  ","19617","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19617"
"SIDI BOUBKER EL HAJ  ","19618","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19618"
"SIDI BOUKHALKHAL  ","19619","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19619"
"SIDI BOULAALAM​","19620","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19620"
"SIDI BOULENOUAR​","19621","Maroc","L'Oriental (MA)","HUB_OUJDA","19621"
"SIDI BOUSBER  ","19622","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19622"
"SIDI BOUZID​","19623","Maroc","Casablanca-Settat (MA)","HUB_EL JADIDA","19623"
"SIDI DAHBI  ","19624","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19624"
"SIDI EL MOKHFI  ","19625","Maroc","Fès-Meknès (MA)","HUB_FES","19625"
"SIDI EL RHANDOUR  ","19626","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19626"
"SIDI GHANEM​","19627","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19627"
"SIDI HJAJ  ","19628","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19628"
"SIDI HRAZEM  ","19629","Maroc","Fès-Meknès (MA)","HUB_FES","19629"
"SIDI HSSAIEN  ","19630","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19630"
"SIDI IFNI​","19631","Maroc","Souss-Massa (MA)","HUB_TIZNIT","19631"
"SIDI JABER​","19633","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19633"
"SIDI JABER  ","19632","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19632"
"SIDI KACEM  ","19634","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19634"
"SIDI KAOUKI​","19635","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19635"
"SIDI LAAROUSSI​","19636","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19636"
"SIDI LAHCEN EL YOUSSI  ","19637","Maroc","Fès-Meknès (MA)","HUB_FES","19637"
"SIDI L'MOKHTAR​","19638","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19638"
"SIDI M'HAMED OU MERZOUK​","19639","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19639"
"SIDI MOHAMED EL AHMAR  ","19640","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19640"
"SIDI MOUSSA LEMHAYA​","19641","Maroc","L'Oriental (MA)","HUB_OUJDA","19641"
"SIDI QANQOUCH  ","19642","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19642"
"SIDI REDOUANE  ","19643","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19643"
"SIDI SLIMAN  ","19644","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19644"
"SIDI TAIBI  ","19645","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19645"
"SIDI YAHYA DU GHARB  ","19647","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19647"
"SIDI YAHYA OUSAAD  ","19648","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19648"
"SIDI YAHYA OUSAAD  ","19649","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19649"
"SIDI YAHYA  ","19646","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19646"
"SIDI YOUSSEF BEN AHMED SENHAJA  ","19650","Maroc","Fès-Meknès (MA)","HUB_FES","19650"
"SID ZWIN ","19599","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19599"
"SKHIRAT​","19651","Maroc","Rabat-Salé-Kénitra (MA)","HUB_TEMARA","19651"
"SKOURA  ","19652","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19652"
"SMIAA  ","19653","Maroc","Fès-Meknès (MA)","HUB_FES","19653"
"SMIMOU​","19654","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19654"
"SOUIRIA​","19655","Maroc","Marrakech-Safi (MA)","HUB_SAFI","19655"
"SOUK KHEMIS DADES  ","19656","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19656"
"SOUK LARBA  ","19657","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19657"
"SOUK SEBT OUED BEHT  ","19658","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19658"
"SOUK SEBT OULAD MIMOUN  ","19659","Maroc","Fès-Meknès (MA)","HUB_FES","19659"
"SOUK SEBT OULAD NEMA","19660","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19660"
"SOUK TLETA EL GHARB  ","19661","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19661"
"SOUK TNINE MOGHANE  ","19662","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19662"
"SOUQ KHEMIS SAHEL  ","19663","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19663"
"SOUQ TNIN SIDI EL YAMANI  ","19664","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19664"
"STEHAT  ","19665","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19665"
"STI FADMA  ","19666","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19666"
"TABOUDA  ","19667","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19667"
"TACHRAFAT  ","19668","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19668"
"TADDAMOUT  ","19669","Maroc","Fès-Meknès (MA)","HUB_MEKNES","19669"
"TADDART​","19670","Maroc","Dakhla-Oued Ed-Dahab (MA)","HUB_DAKHLA","19670"
"TAFERSIT  ","19672","Maroc","L'Oriental (MA)","HUB_NADOR","19672"
"TAFE TACHTE​","19671","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19671"
"TAFOUGHALT​","19673","Maroc","L'Oriental (MA)","HUB_OUJDA","19673"
"TAFRAOUTE​","19675","Maroc","Souss-Massa (MA)","HUB_TIZNIT","19675"
"TAFRAOUT AIT ALI OULAHCEN  ","19674","Maroc","Fès-Meknès (MA)","HUB_FES","19674"
"TAGANT​","19676","Maroc","Guelmim-Oued Noun (MA)","HUB_GUELMIM","19676"
"TAGHAZOUT​","19677","Maroc","Souss-Massa (MA)","HUB_AGADIR","19677"
"TAGHBALT  ","19678","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19678"
"TAGHJIJT​","19679","Maroc","Guelmim-Oued Noun (MA)","HUB_GUELMIM","19679"
"TAGOUNITE  ","19680","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19680"
"TAGZIRET  ","19681","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19681"
"TAHLA​","19683","Maroc","Fès-Meknès (MA)","HUB_TAZA","19683"
"TAHLA  ","19682","Maroc","Fès-Meknès (MA)","HUB_FES","19682"
"TAHNAOUT  ","19684","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19684"
"TALA YOUSSEF  ","19685","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19685"
"TALIOUINE​","19686","Maroc","Souss-Massa (MA)","HUB_AGADIR","19686"
"TALMEST​","19687","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19687"
"TAMANAR​","19688","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19688"
"TAMASSINT  ","19689","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19689"
"TAMEGROUTE  ","19690","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19690"
"TAMESSNA​","19691","Maroc","Rabat-Salé-Kénitra (MA)","HUB_TEMARA","19691"
"TAMLALAT  ","19692","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19692"
"TAMNSORT  ","19693","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19693"
"TAMRI​","19694","Maroc","Souss-Massa (MA)","HUB_AGADIR","19694"
"TAMSAMAN  ","19695","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19695"
"TAMSLOUHT  ","19696","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19696"
"TANANT  ","19697","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19697"
"TANGER  ","19698","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19698"
"TANSIKHT  ","19699","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19699"
"TANTAN​","19700","Maroc","Guelmim-Oued Noun (MA)","HUB_GUELMIM","19700"
"TAOUNAT  ","19701","Maroc","Fès-Meknès (MA)","HUB_FES","19701"
"TAOURIRT​","19702","Maroc","L'Oriental (MA)","HUB_OUJDA","19702"
"TARGHA  ","19703","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19703"
"TARGUIST  ","19704","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19704"
"TARMIGT  ","19705","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19705"
"TARODANT​","19706","Maroc","Souss-Massa (MA)","HUB_AGADIR","19706"
"TAZA​","19707","Maroc","Fès-Meknès (MA)","HUB_TAZA","19707"
"TAZAGHINE  ","19708","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19708"
"TAZARINE  ","19709","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19709"
"TAZNAKHT  ","19710","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19710"
"TAZOUTA  ","19711","Maroc","Fès-Meknès (MA)","HUB_FES","19711"
"TELATA RISSANA  ","19713","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19713"
"TELAT AZLAF  ","19712","Maroc","L'Oriental (MA)","HUB_NADOR","19712"
"TELOUET  ","19714","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19714"
"TEMARA​","19715","Maroc","Rabat-Salé-Kénitra (MA)","HUB_TEMARA","19715"
"TEROUAL  ","19716","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19716"
"TETOUAN  ","19717","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19717"
"TIDILI  ","19718","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19718"
"TIFLET  ","19719","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19719"
"TIGHASALIN  ","19720","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19720"
"TIGHIRT​","19721","Maroc","Souss-Massa (MA)","HUB_TIZNIT","19721"
"TIGHMI​","19722","Maroc","Dakhla-Oued Ed-Dahab (MA)","HUB_DAKHLA","19722"
"TIGHZA  ","19723","Maroc","Fès-Meknès (MA)","HUB_MEKNES","19723"
"TIKIOUINE​","19724","Maroc","Souss-Massa (MA)","HUB_AGADIR","19724"
"TILMI  ","19725","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19725"
"TIMAHDITE  ","19727","Maroc","Fès-Meknès (MA)","HUB_MEKNES","19727"
"TIMDELINE  ","19728","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19728"
"TIMEZGANA  ","19729","Maroc","Fès-Meknès (MA)","HUB_FES","19729"
"TIMOULAY​","19730","Maroc","Guelmim-Oued Noun (MA)","HUB_GUELMIM","19730"
"TIMOULILT  ","19731","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19731"
"TIM DGHAS  ","19726","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19726"
"TINEJDAD  ","19732","Maroc","Drâa-Tafilalet (MA)","HUB_ERRACHIDIA","19732"
"TINGHIR  ","19733","Maroc","Drâa-Tafilalet (MA)","HUB_ERRACHIDIA","19733"
"TINZOULINE  ","19734","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19734"
"TIOUGHZA​","19735","Maroc","Souss-Massa (MA)","HUB_TIZNIT","19735"
"TISSA  ","19736","Maroc","Fès-Meknès (MA)","HUB_FES","19736"
"TIZIRINE  ","19740","Maroc","L'Oriental (MA)","HUB_NADOR","19740"
"TIZI NISLI  ","19737","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19737"
"TIZI OUASLI  ","19738","Maroc","L'Oriental (MA)","HUB_NADOR","19738"
"TIZI TCHEN  ","19739","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19739"
"TIZNIT​","19741","Maroc","Souss-Massa (MA)","HUB_TIZNIT","19741"
"TIZTOUTINE  ","19742","Maroc","L'Oriental (MA)","HUB_NADOR","19742"
"TLAT LOULED  ","19743","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19743"
"TLAT GNADIZ  ","19744","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19744"
"TLETA EL HENCHANE​","19746","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19746"
"TLET OULED FARS  ","19745","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19745"
"TNIN LGHARBIA​","19747","Maroc","Marrakech-Safi (MA)","HUB_SAFI","19747"
"TORRES DE ALCALA  ","19748","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19748"
"TOUIMA  ","19749","Maroc","L'Oriental (MA)","HUB_NADOR","19749"
"TOUNDOUTE  ","19750","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19750"
"TOUROUG  ","19751","Maroc","Drâa-Tafilalet (MA)","HUB_ERRACHIDIA","19751"
"TROUGOUT  ","19752","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19752"
"VILLE IBN BATOUTA  ","19753","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19753"
"WAWIZAGHET  ","19754","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19754"
"YOUSOUFIA​","19755","Maroc","Marrakech-Safi (MA)","HUB_SAFI","19755"
"ZAG​","19756","Maroc","Guelmim-Oued Noun (MA)","HUB_GUELMIM","19756"
"ZAGORA  ","19757","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19757"
"ZAIO  ","19758","Maroc","L'Oriental (MA)","HUB_NADOR","19758"
"ZAOUIAT CHEIKH  ","19762","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19762"
"ZAOUIAT SIDI SMAIL​","19763","Maroc","Casablanca-Settat (MA)","HUB_EL JADIDA","19763"
"ZAOUIA BOUGRINE  ","19759","Maroc","Fès-Meknès (MA)","HUB_FES","19759"
"ZAOUIA KADIRIA ","19760","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19760"
"ZAOUIA SIDI KACEM  ","19761","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19761"
"ZAWIT BENHMIDA​","19764","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19764"
"ZAYDA  ","19765","Maroc","Fès-Meknès (MA)","HUB_MEKNES","19765"
"ZEMAMRA​","19766","Maroc","Casablanca-Settat (MA)","HUB_EL JADIDA","19766"
"ZERADA  ","19767","Maroc","Fès-Meknès (MA)","HUB_FES","19767"
"ZGHANGHAN  ","19768","Maroc","L'Oriental (MA)","HUB_NADOR","19768"
"ZHILIGA  ","19769","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19769"
"ZIRARA  ","19770","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19770"
"ZOUAYAR  ","19771","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19771"
"ZRIZER  ","19772","Maroc","Fès-Meknès (MA)","HUB_FES","19772"
